sample_id,st,zp,alpha_z,beta_z,alpha_m,m_max,delta_m,m_min,lambda_peak,mu_m,sigma_m,beta_q
pop00000_sample00000,2048,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00001,4096,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00002,6144,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00003,8192,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00004,10240,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00005,12288,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00006,14336,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00007,16384,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00008,18432,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
pop00000_sample00009,20480,2.3167441575549086,2.2248837636676364,3.904805602253922,3.233745389975921,16.411528262143783,7.6393286765074455,2.140540016731535,0.030120822085783226,34.599608347513765,3.5201263316833242,2.0965665464634755
